B1,B2,B3,B4,B5,水温,DO,source
3.9250267727571817,5.622960326768217,7.497640371009116,7.744149387742665,1.3791272410082367,18.2,8.43,0
5.62175,6.719,10.4205,8.5945,6.18275,21.0,7.54,1
1.681212595269956,2.423750793334725,2.5884428516818128,2.35026644791826,1.1966390830203095,22.7,9.64,0
1.5744542759937388,2.2546358386746648,2.385809796251809,2.149948692629334,0.7386629644514218,22.7,9.64,0
1.1411213048985096,2.629632432847464,5.629307327336036,3.312628261123037,0.0886960210563789,13.9,10.67,0
6.39175,6.56225,7.258,5.61625,4.1395,19.2,10.6,1
7.68975,8.33325,9.65875,6.06725,5.55575,23.7,9.71,1
6.20475,7.15075,10.085,7.6595,4.9095,20.9,9.08,1
4.46125,5.6575,9.9365,9.0345,4.36775,16.3,9.91,1
5.93525,7.203,13.32175,13.682,3.55925,22.9,7.7,1
5.179,6.88675,12.93125,12.032,6.81525,29.4,7.49,1
2.9845,4.79125,9.15,6.69425,1.5985,16.8,8.94,1
2.02406124066272,3.4521813245506885,6.905608018142772,5.021799232453784,1.2398369939114442,24.2,5.86,0
6.11675,7.8465,13.704,14.46025,4.63725,26.3,4.19,1
4.59325,6.12775,9.9365,7.68425,5.59975,29.6,4.72,1
4.159085069571193,5.969322617866439,8.2754108605122,8.007938834846394,1.1742107202339054,23.1,9.9,0
3.234383878721019,4.606731861211347,6.412455957468054,5.619156789979666,2.8892756413377536,26.0,5.69,0
5.5805,6.10025,7.70075,5.34125,2.29975,16.2,9.04,1
3.3255,3.99375,6.4385,5.5255,1.824,20.1,5.76,1
1.883371344017113,3.104811309322697,4.701485468190235,3.952985202597264,0.0439774501058787,15.0,8.0,0
4.03225,5.10475,8.18475,5.8995,4.1395,13.2,10.26,1
2.860054467334771,4.450481052169613,5.681951664752138,3.054180366281391,0.0028863150401729,16.9,9.28,0
4.763559552604496,6.856110158200417,9.752707281212716,9.706923055259242,4.199147349646478,18.2,7.1,0
2.590974023096181,3.967711291027127,4.947607276037554,2.4907013933326305,0.0151094127928134,17.1,9.15,0
2.4296293961361237,3.989122536388354,5.567097537007386,2.916104094043957,0.0032794537970475,17.1,9.75,0
2.160200052393077,3.621392352092568,7.376651038967101,5.438947423557799,1.1120744508674785,23.8,5.56,0
3.07525,4.85175,8.97125,7.34875,1.99725,21.9,6.73,1
2.53075,3.40525,6.6695,5.4705,3.12475,22.8,6.46,1
5.06075,6.35325,9.22975,7.412,6.08375,29.4,6.5,1
2.073468596573958,2.9358668700265147,3.879108561075445,4.002777502767132,0.9870565474939824,17.2,5.81,0
4.16425,4.84625,7.06275,4.5905,3.80675,25.1,7.45,1
1.5435,3.6555,7.76675,5.289,4.53,32.5,6.38,1
3.1294844010151266,4.689250628375199,6.099752212813471,5.5798436598533785,0.4308454973632585,17.4,6.06,0
5.57225,6.92525,9.9915,7.4395,5.64925,21.0,8.36,1
6.136,7.60175,10.93475,7.84375,7.0545,24.0,8.68,1
2.336479098407496,3.971149561490461,5.6068109682898495,3.084485433022304,0.1733419670569079,17.8,9.68,0
12.778617091475438,16.107603130928723,21.08150557067688,22.81228678393696,11.851004777189203,23.5,4.24,0
2.180002767805584,3.628092427144217,4.905135084590999,2.898532598986011,0.0162622991704478,17.4,9.0,0
2.796285055519609,4.37272209778757,5.523813116554237,2.7113595741414667,0.001898945146921,17.2,9.01,0
3.982764199202454,6.519709059668453,12.015430198722216,9.983758029200562,4.47868746386097,26.6,5.52,0
2.5105414253026552,4.134857663310251,5.36309052149384,2.5494803221257536,0.084911725027817,17.5,9.36,0
