SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,Ë®ÎÂ,ÈÜ½âÑõ
4.040980853684557,5.840748437990089,8.971534738286536,7.5581603352411255,3.682278390448346,25.9,6.55
3.9487781895208505,5.831947141621015,8.885181820468246,7.554622248129057,3.7470730889100214,25.9,6.55
4.3062987665307855,6.4308504168222855,9.50943433667677,8.127569869153481,3.104641903541696,25.9,6.55
4.987540958517678,7.108934786667308,10.493606394464994,9.029079432343332,3.427185180584333,25.9,6.55
4.157218826714684,6.216038194124289,9.329813636225907,7.929522037798527,2.928109239873504,25.9,6.55
4.710113970288507,6.764305007031299,9.894292602554495,8.599580691357422,3.0889258773021164,25.9,6.55
3.975672438629714,5.873454598198799,9.008216390510011,7.602587608427701,3.2946860890293346,25.9,6.55
4.506147131473425,6.646715413104963,9.923847187153932,8.739513431869462,4.511731282442261,25.6,6.54
3.432329337405754,5.183705835872485,7.595294270067841,6.744887484533138,3.545799655073865,25.6,6.54
3.7237639298593015,5.6533709951442,8.361818105432324,7.238152093795456,3.725658997724008,25.6,6.54
3.6780300461477715,5.380381822755457,7.859905258417953,6.937452431668443,3.914087619475513,25.6,6.54
4.144135630953256,6.079752803449026,8.974050073705106,7.8452363782908225,4.3876046730227705,25.6,6.54
4.271125419904385,6.274420750923167,9.348172465090771,8.039475425363912,4.242675448550722,25.6,6.54
3.363548762739938,4.9631725035092105,7.388366840771192,6.485665926646257,3.5825646166412057,25.6,6.54
4.079006880071983,6.037905325374754,8.878694054407115,7.661832166450033,3.89830853008082,25.6,6.54
3.550091707302113,5.328273728574808,7.802294372769299,6.787799307244961,3.2274768686721567,25.6,6.54
3.714274219994026,5.513309648817314,8.18319454995845,7.0477714707404715,3.495472000823777,25.6,6.54
3.6690298320815256,5.2895028778715965,8.116379992319509,7.515332199427918,4.697488326090083,26.2,4.88
3.561088012805933,5.048637386802234,7.485858550367659,6.69926773021765,4.0147095936499255,26.2,4.88
3.6548353346547438,5.183221436823778,7.601929555649546,6.808045939511929,3.7775262010785067,26.2,4.88
3.7231360353909664,5.233968300583266,7.525863711482509,6.775407256022181,3.68173033788281,26.2,4.88
3.523521168129032,5.053204075906074,7.4030309000589,6.617131493991488,3.922172311951985,26.2,4.88
3.639212183222408,5.155854353694225,7.4847109707047865,6.715740181479932,3.715201228503541,26.2,4.88
3.7290774386722325,5.302872509404045,7.615412251188606,6.88045971794112,3.5088552553205363,26.2,4.88
3.445444633787133,4.974726866721099,7.405965782761957,6.645951869163423,4.019497177352241,26.2,4.88
3.5730419350666502,5.086573612379902,7.355711007608498,6.610960641719194,3.7778744728646902,26.2,4.88
3.794810522796593,5.369366643247108,7.643748097082807,6.99001623202566,3.629388603272064,26.2,4.88
2.144900190118489,3.518360063303329,7.258700830857504,5.230969248186224,1.3862582951228508,23.8,5.56
2.1380399210971994,3.389289069669724,7.043450830114069,5.012584736928396,1.615524519897239,23.8,5.56
2.1737965565969386,3.4010572409566335,7.050046142303646,5.023417771578212,1.6569631661289062,23.8,5.56
2.1449279412901365,3.5343534223905015,7.248802011571942,5.255822576794497,1.3845985503611817,23.8,5.56
2.1768931762325203,3.565409736870233,7.371375888106647,5.2812394943433265,1.2443595874677154,23.8,5.56
2.198102263883021,3.447531400977259,7.100328692196452,5.043966816798581,1.5411386482713527,23.8,5.56
2.157170008824048,3.509115711780925,7.162247405570047,5.181428212594914,1.3422923961989184,23.8,5.56
2.1637404334210886,3.4669397612078137,7.092672682276649,5.118424619331292,1.6563749142359165,23.8,5.56
2.160200052393077,3.6213923520925677,7.376651038967101,5.438947423557799,1.1120744508674785,23.8,5.56
2.167738755455273,3.5909363715415346,7.401633798278934,5.294491185352276,1.099019368214942,23.8,5.56
2.214877371077247,3.594643223613657,6.902258363846381,5.1727475215596135,1.5827550162459423,24.2,5.86
2.1123328168536597,3.49666480378621,6.89372247240053,5.06392257179795,1.431456466144057,24.2,5.86
2.2306597671256045,3.6288916874460444,7.030736065677414,5.251000919690201,1.2500479935274824,24.2,5.86
2.215160657341336,3.653024806801497,7.096385126695311,5.233896375527909,1.3409950301481934,24.2,5.86
2.2701655907999947,3.6142454845322853,7.15684952070463,5.26015715517276,0.8103194256479123,24.2,5.86
1.9979561172953477,3.378966128045348,6.622940838771232,4.88558155993416,1.2099801763969853,24.2,5.86
2.0240612406627196,3.4521813245506885,6.905608018142772,5.021799232453784,1.2398369939114442,24.2,5.86
2.1470300085199643,3.5335956891545024,7.003706284601901,5.101140857759291,1.0956060679959607,24.2,5.86
2.192166068107695,3.6221872377928834,7.160080677787602,5.2756797385093375,0.9204568832329024,24.2,5.86
2.281978131964399,3.640952145984162,7.095740174810986,5.244030406181668,0.8346756804143494,24.2,5.86
1.9277975661712203,3.267771287413425,6.792260232079653,4.770506725454299,0.5804834305935207,23.6,5.94
1.991222229359575,3.312413879524695,6.881238350487789,4.786863150234261,0.5784330551004735,23.6,5.94
1.982301085174906,3.2516061859920953,6.773418762587222,4.863013570130396,0.6856547631734488,23.6,5.94
1.9055150206385436,3.1993249428511294,6.68008384051859,4.728434636496329,0.5840249230066621,23.6,5.94
1.95619015097511,3.2135307855578494,6.720806390954297,4.708020138006178,0.7552961095950814,23.6,5.94
2.220959021037862,3.4967902992001334,7.046590598566678,5.025998729866439,0.7247632069004601,23.6,5.94
